HI_wl,prob,index,value,lon,lat
1.5,0.9999,HWF,2.84626215129718,124.75,53.25
2,0.9,HWF,16.5764411027569,124.75,53.25
2,0.95,HWF,15.8320802005013,124.75,53.25
2,0.99,HWF,8.74912280701755,124.75,53.25
2,0.999,HWF,3.99821373609462,124.75,53.25
2,0.9999,HWF,3.44540556758253,124.75,53.25
3.5,0.9,HWF,11.5037593984962,124.75,53.25
3.5,0.95,HWF,13.3934837092732,124.75,53.25
3.5,0.99,HWF,11.7568922305764,124.75,53.25
3.5,0.999,HWF,7.31328320802005,124.75,53.25
3.5,0.9999,HWF,6.56979949874687,124.75,53.25
0.85,0.9,HWD,53.4110275689223,125.75,53.25
0.85,0.95,HWD,29.6165413533835,125.75,53.25
0.85,0.99,HWD,8.45257661698105,125.75,53.25
0.85,0.999,HWD,3.26504054759717,125.75,53.25
0.85,0.9999,HWD,2.91795222705888,125.75,53.25
1.5,0.9,HWD,70.5689223057644,125.75,53.25
1.5,0.95,HWD,42.015037593985,125.75,53.25
1.5,0.99,HWD,13.5161654135338,125.75,53.25
1.5,0.999,HWD,5.0589738988855,125.75,53.25
1.5,0.9999,HWD,4.37686699265647,125.75,53.25
2,0.9,HWD,85.0902255639098,125.75,53.25
2,0.95,HWD,52.546365914787,125.75,53.25
2,0.99,HWD,18.2398496240602,125.75,53.25
2,0.999,HWD,6.59344620581381,125.75,53.25
2,0.9999,HWD,5.60496999221335,125.75,53.25
3.5,0.9,HWD,131.290726817043,125.75,53.25
3.5,0.95,HWD,90.8270676691729,125.75,53.25
3.5,0.99,HWD,39.2531328320802,125.75,53.25
3.5,0.999,HWD,16.5488721804511,125.75,53.25
3.5,0.9999,HWD,13.9763157894737,125.75,53.25
0.85,0.9,HWI,8.43764951629072,125.75,53.25
0.85,0.95,HWI,6.63104509072682,125.75,53.25
0.85,0.99,HWI,3.76304902367158,125.75,53.25
0.85,0.999,HWI,2.38424685330649,125.75,53.25
0.85,0.9999,HWI,2.19203987684334,125.75,53.25
1.5,0.9,HWI,9.19813713383459,125.75,53.25
1.5,0.95,HWI,7.46554836265664,125.75,53.25
1.5,0.99,HWI,4.63399282025405,125.75,53.25
1.5,0.999,HWI,2.94127621334648,125.75,53.25
1.5,0.9999,HWI,2.75099901660892,125.75,53.25
2,0.9,HWI,9.82857683934837,125.75,53.25
2,0.95,HWI,8.15118971002506,125.75,53.25
2,0.99,HWI,5.33987732597744,125.75,53.25
2,0.999,HWI,3.34340411747796,125.75,53.25
2,0.9999,HWI,3.12615358447299,125.75,53.25
3.5,0.9,HWI,11.6166912694236,125.75,53.25
3.5,0.95,HWI,9.97832182481203,125.75,53.25
3.5,0.99,HWI,7.21995547894737,125.75,53.25
3.5,0.999,HWI,4.97656587789474,125.75,53.25
3.5,0.9999,HWI,4.64598633676692,125.75,53.25
0.85,0.9,HWS,130.358266588972,125.75,53.25
0.85,0.95,HWS,64.2099937283208,125.75,53.25
0.85,0.99,HWS,15.2025984013448,125.75,53.25
0.85,0.999,HWS,5.41385364196872,125.75,53.25
0.85,0.9999,HWS,4.70909551446696,125.75,53.25
1.5,0.9,HWS,184.297055842105,125.75,53.25
1.5,0.95,HWS,97.2987587368421,125.75,53.25
1.5,0.99,HWS,26.0196612489846,125.75,53.25
1.5,0.999,HWS,8.71571073779009,125.75,53.25
1.5,0.9999,HWS,7.50049849687776,125.75,53.25
2,0.9,HWS,233.583814125313,125.75,53.25
2,0.95,HWS,127.643200449624,125.75,53.25
2,0.99,HWS,36.6389587539474,125.75,53.25
2,0.999,HWS,11.7953452713941,125.75,53.25
2,0.9999,HWS,9.98295031110914,125.75,53.25
3.5,0.9,HWS,427.184908501253,125.75,53.25
3.5,0.95,HWS,258.118443478697,125.75,53.25
3.5,0.99,HWS,91.1757872062657,125.75,53.25
3.5,0.999,HWS,33.8250842339098,125.75,53.25
3.5,0.9999,HWS,28.3144865014712,125.75,53.25
0.85,0.9,HWF,17.4636591478697,125.75,53.25
0.85,0.95,HWF,12.6892230576441,125.75,53.25
0.85,0.99,HWF,4.84052895396386,125.75,53.25
0.85,0.999,HWF,2.22946521821379,125.75,53.25
0.85,0.9999,HWF,2.03729619985323,125.75,53.25
1.5,0.9,HWF,17.0726817042607,125.75,53.25
1.5,0.95,HWF,14.4411027568922,125.75,53.25
1.5,0.99,HWF,6.8062656641604,125.75,53.25
1.5,0.999,HWF,3.05599809637613,125.75,53.25
1.5,0.9999,HWF,2.72000017526333,125.75,53.25
2,0.9,HWF,15.874686716792,125.75,53.25
2,0.95,HWF,14.9824561403509,125.75,53.25
2,0.99,HWF,8.10726817042607,125.75,53.25
2,0.999,HWF,3.66391572326068,125.75,53.25
2,0.9999,HWF,3.21278326936222,125.75,53.25
3.5,0.9,HWF,10.9924812030075,125.75,53.25
3.5,0.95,HWF,12.8345864661654,125.75,53.25
3.5,0.99,HWF,11.0501253132832,125.75,53.25
3.5,0.999,HWF,6.81954887218045,125.75,53.25
3.5,0.9999,HWF,6.10827067669173,125.75,53.25
0.85,0.9,HWD,58.5588972431078,120.75,52.25
0.85,0.95,HWD,33.3333333333333,120.75,52.25
